,itr,T,N1,N2,beta,r,log_rank_greater,hc_greater,fisher_greater,min_p_greater,berk_jones_greater,wilcoxon_greater,log_rank_less,hc_less,fisher_less,min_p_less,berk_jones_less,wilcoxon_less
71,1,2000,1000,1000,0.9,0.6,0.7910641806634481,3.8312909497995276,3882.718138925047,10.4113993517673,4.591154026493356,0.9819849571447059,0.6039686323384889,4.243657638825981,3857.137273036443,9.10475577773013,6.930200616675027,0.4693108473360566
72,1,2000,1000,1000,0.9,0.7,0.37385482565471917,2.2354211314578274,4111.527143088953,7.82593255997311,4.1461126932272245,0.07327436294428001,1.1649982614599237,1.3735999139776425,4067.1069906148223,8.365881889894132,2.8835484057595746,2.649957964098635
73,1,2000,1000,1000,0.9,0.7999999999999999,7.517215953526374,2.9904179704842577,4261.800132930057,7.939077856050574,8.22891992349318,24.70647049411603,0.0005437918190406773,1.9278607102441085,3860.644854871804,8.681535928423964,4.7063426459705555,1.8625878617402326e-11
74,1,2000,1000,1000,0.9,0.8999999999999999,2.229702559097533,10.276423207245706,3930.216826243886,12.279277465694438,5.043263424967783,6.911433968918441,0.1137964631336765,1.4272096389731226,3913.735926423506,7.240440033834778,4.278787194807665,0.0009968247328850817
75,1,2000,1000,1000,0.9,0.9999999999999999,1.7229616006176138,1.687154731521358,3967.088138536509,7.7600222084267,3.162911098850845,6.738454312709768,0.1966679073477209,1.2665783462440174,4011.052631539208,6.848740787574736,2.2239515698337846,0.0011851786195853505
76,1,2000,1000,1000,0.9,1.0999999999999999,2.8237077763648135,2.5465510646848424,4109.0623043075675,9.642396804603944,4.149797576855373,11.265560404493563,0.06122173061841967,1.5937451604956296,3906.160432447706,9.061278695317535,4.634821299151115,1.2806547412388203e-05
77,1,2000,1000,1000,0.9,1.2,1.2881002366008178,2.0230595592967306,4039.5945772279483,7.4646377659086385,3.7097900237294734,1.4556858544833027,0.322679713583844,1.6136901288143406,3913.612880456932,7.942756008860795,3.9104973762238635,0.26558187756431245
78,1,2000,1000,1000,0.95,0.0,1.0890725533238703,1.5502460100998017,4029.7259108628,6.347245450427787,3.506185448897024,3.2942373059635477,0.4102693217147498,2.3512141586670947,4088.0377764849927,8.106386108669149,4.5102029419421,0.037801900648378545
79,1,2000,1000,1000,0.95,0.09999999999999999,0.8410419975334545,2.498411422408059,3996.8079001703722,8.845449542698823,3.31548946382727,2.5943356873968204,0.564333502595914,3.056351419889449,4003.5566044498164,8.713226545904462,3.722575201602343,0.0776323856424267
80,1,2000,1000,1000,0.95,0.19999999999999998,0.44311582077414213,1.4386677786058437,3977.8137028230067,8.095831486331807,2.5707339048152575,0.10750987599109345,1.0273140343331015,2.5688926784610704,4114.668194054818,7.084818917449336,5.071969915824564,2.283445951430977
81,1,2000,1000,1000,0.95,0.3,1.1609106994979066,0.7966049252311604,3972.8925647347555,7.6738992216472175,2.556961067606356,2.768972842331643,0.37571334264181955,1.9695129596874286,4075.0601813654043,7.236729160072765,3.4969237459815385,0.0647800453080774
82,1,2000,1000,1000,0.95,0.39999999999999997,0.3834838416130254,4.077403479528847,3911.960582966475,8.751498756694614,6.042293453634736,0.021873936052008193,1.1440797115874175,2.533107221454349,4001.5109478422,7.118434542710455,4.648424184130035,3.833376517437681
83,1,2000,1000,1000,0.95,0.49999999999999994,2.848934955616435,4.671619556493658,4174.519717777835,10.769811309280334,4.528394686347043,7.836864181234024,0.05965017973081018,1.1975319573056058,4025.973545902446,6.812423251006343,2.363534978836603,0.0003949834486827283
84,1,2000,1000,1000,0.95,0.6,0.8080690110043213,1.4513884321324964,3929.4041726094656,6.7749564365529915,6.148771441559277,0.39056878809480977,0.5900815380032929,1.6575936628657824,4084.657195013217,7.196741282115789,2.87375392371955,1.1290876265149665
85,1,2000,1000,1000,0.95,0.7,1.1123932280600184,2.5028353642361783,4118.902012547089,8.056418402490507,4.8077089265355255,2.5099019766162267,0.39864520810942744,-0.09944165502568196,3954.053547583677,6.287198673580765,3.7233690945245215,0.0847697522024543
86,1,2000,1000,1000,0.95,0.7999999999999999,2.220272625964857,1.7186123494057608,4120.523188412833,7.219393367158422,3.3752949356340323,8.908397089357896,0.11493902478933003,2.2918520901706145,4065.7843891342786,8.709877211244754,3.765439451603444,0.00013525759841192105
87,1,2000,1000,1000,0.95,0.8999999999999999,0.19060400875062092,1.903736514611761,3999.1076729378537,6.731374810399909,3.430638250126385,0.0005127841478359174,1.7513459727699718,2.291679167781366,4120.0480447994605,9.00264334748202,4.076206889941674,7.575911946909793
88,1,2000,1000,1000,0.95,0.9999999999999999,0.2342785270687199,1.7803863050213546,4084.0017716457123,7.832357011839384,3.1803208643095284,0.011975466773830984,1.566097958963125,4.215075002700949,4053.980207168594,10.582317005156805,5.590854165194215,4.430876915321469
89,1,2000,1000,1000,0.95,1.0999999999999999,3.637794168371967,2.3666167077853473,4176.712993447695,9.611338084043892,4.57796940480342,12.97932577003965,0.026662625827331303,2.2525575261753694,3909.27742137052,7.418072542657417,3.1290968427944152,2.3075490448077285e-06
90,1,2000,1000,1000,0.95,1.2,0.9916018868744849,2.8205568468081244,3980.1649222966116,9.888744610031432,3.259748136621861,2.072528344327485,0.46359531630896167,0.9277627171686773,3918.0717133631238,8.188869694927119,3.772367220086964,0.134522905248279
91,2,2000,1000,1000,0.45,0.0,0.15419296110751654,0.864988313094116,3920.3104734330313,7.676111664200739,2.860378170059936,0.003095390912530165,1.9456564989087264,1.5218736550459795,3980.499443430802,7.654328098410753,2.3538921576571337,5.779388372517581
92,2,2000,1000,1000,0.45,0.09999999999999999,6.486518514674583,2.5937019872914955,4158.994925422059,7.073404134845305,5.916516685743125,25.95265624325953,0.0015250072605063458,0.16794544604263983,3772.0623814489472,6.639861437547515,7.280223971611838,5.356826093830728e-12
